Date,Sample Name,Farm Name,Soil Name,Crop Name,pH,Conductivity,Nitrogen,Phosphorus,Potassium,Boron,Copper,Ferrous,Manganese,Organic Carbon,Sulphur,Zinc,LAI,TII,ARI,RBI,CRI,FAI,MRI,HCI,Bi-carbonate,Carbonate,C/N Ratio,Calcium Carbonate,Col410,Col435,Col460,Col485,Col510,Col535,Col560,Col585,Col610,Col645,Col680,Col705,Col730,Col760,Col810,Col860,Col900,Col940,S1,S2,S3,S4,Temp,Moist,EC,Ph,Nitro,Posh,Pota
2026-01-18T00:00:00.000Z,S1_f1_Guava,F1,S1,Guava,7.39,384,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,1.02,0.01,0.07,0.13,0.62,15.13,7.6,0.01,250,0.28,27.39,0.2,2087.62,230.5,993.62,182.31,548.69,656.69,79.54,85.22,585.7,188.03,431.95,51.28,252,219.4,28228.67,733.35,78.01,51.34,1548,0,0,300,25.5,28.4,384,7.39,24,34,85
2026-01-18T00:00:00.000Z,F1_S3_Guava,F1,S3,Guava,7.76,383,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.81,0.01,0.05,0.12,0.6,14.07,7.07,0,250,0.66,27.39,0.21,1491.52,363.44,1134.32,173.42,572.97,455.59,76.01,73.39,646.41,272.87,572.51,49.72,288.55,232.49,40318.93,657.6,94.95,53.17,2929,0,0,262,23.7,31.1,383,7.76,24,33,84
2026-01-18T00:00:00.000Z,F1_S3_Guava,F1,S3,Guava,7.83,306.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.83,0.03,0.11,0.25,0.43,14.37,7.22,0.01,250,0.78,27.39,0.21,1246.38,289.32,751.525,145.405,386.28,344.64,76.515,80.965,445.74,140.105,352.43,42.535,177.01,164.36,13002.55,488.535,57.15,38.96,2437,0,0,265.5,28.2,22.2,306.5,7.83,21,28,71
2026-01-18T00:00:00.000Z,F1_s4_guava,F1,S4,Guava,7.88,333,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.87,0.03,0.11,0.25,0.46,16.29,8.19,0.01,250,0.88,27.39,0.21,1494.11,353.88,1046.505,159.19,509.98,424.385,78.03,82.86,542.98,184.36,404.76,44.865,202.9,185.915,16248.53,603.805,65.615,44,654,0,0,258,26.1,29.5,333,7.88,22,30,76
2026-01-18T00:00:00.000Z,F1_F2_F3_Fx_Guava,F1,,Guava,7.72,360,194.26,45,247.65,0.76,0.62,5.13,6.49,0.53,40.41,1.33,0.78,0.04,0.19,0.42,0.51,12.57,6.32,0.02,250,0.6,27.51,0.21,956.5,192.72,634.6,134.29,324.81,321.755,69.97,75.99,419.885,124.2,331.4,37.875,164.45,155.125,5895.195,448.46,52.915,35.295,2659,0,0,326,28.2,25.15,360,7.72,23,32,80
2026-01-18T00:00:00.000Z,F1_S1_Brinjal,F1,S1,Brinjal,7.03,331.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.83,0.02,0.12,0.17,0.45,18.16,9.13,0.01,250,0.12,27.39,0.2,1905.69,320.4,836.43,146.74,409.05,386.94,76.01,84.75,481.155,163.355,351.41,48.56,188.43,169.36,18430.165,514.88,70.155,43.09,3177,0,0,278,28.5,26.9,331.5,7.03,22,30,75.5
2026-01-18T00:00:00.000Z,F1_S2_Brinjal,F1,S2,Brinjal,7.7,500.5,195.1,45,207.95,0.76,0.63,5.08,6.44,0.53,40.65,1.33,0.76,0.02,0.09,0.2,0.51,13.2,6.63,0.01,250,0.58,27.39,0.21,951.34,240.06,675.35,125.4,342.27,282.23,72.49,79.78,415.95,148.875,327.805,40.595,172.06,160.515,13883.085,451.205,57.455,39.88,1058.5,0,0,252,28.2,16,500.5,7.7,30,41.5,104.5
2026-01-18T00:00:00.000Z,F1_S4_Brinjal,F1,S4,Brinjal,7.95,242.5,194.61,44.61,247.9,0.76,0.64,5.05,6.59,0.53,40.41,1.37,0.68,0.02,0.11,0.15,0.58,9.68,2.61,0.01,250,1.02,27.46,0.21,934.14,169.285,600.155,137.845,305.08,312.395,78.53,84.275,456.42,135.415,333.965,42.73,175.105,163.975,8406.34,496.215,57.15,40.795,2094.5,0,0,299.5,28,20.5,242.5,7.945,17,24,60
2026-01-18T00:00:00.000Z,F1_S5_Brinjal,F1,S5,Brinjal,7.95,294.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.87,0.03,0.12,0.29,0.45,15.44,7.76,0.01,250,1.03,27.39,0.21,1321.21,333.31,997.025,160.97,480.01,385.555,80.545,88.77,504.2,171.515,375.515,43.315,181.2,167.82,13439.215,491.825,63.8,40.34,1405,0,0,256,28.1,20.7,294.5,7.95,20,27,69
2026-01-18T00:00:00.000Z,F1_S6_Brinjal,F1,S6,Brinjal,7.16,420.5,195.1,45,209.17,0.76,0.63,5.08,6.37,0.53,40.65,1.33,0.82,0.03,0.19,0.3,0.56,16.64,8.36,0.02,250,0.17,27.39,0.2,1236.49,208.02,833.52,172.98,423.85,423.695,85.075,89.25,517.125,155.605,386.295,44.095,181.2,173.98,9281.365,580.75,61.38,40.34,2360,0,0,325.5,28,26.7,420.5,7.16,26,36,91
